Job Title,O*NET-SOC Code,Title
Aeronautics Commission Director,11-1011.00,Chief Executives
Agency Owner,11-1011.00,Chief Executives
Agricultural Services Director,11-1011.00,Chief Executives
Arts and Humanities Council Director,11-1011.00,Chief Executives
Bank President,11-1011.00,Chief Executives
Bureau Chief,11-1011.00,Chief Executives
Business Development Executive (BD Executive),11-1011.00,Chief Executives
Business Development Officer (BD Officer),11-1011.00,Chief Executives
Business Enterprise Officer,11-1011.00,Chief Executives
Business Executive,11-1011.00,Chief Executives
CEO (Chief Executive Officer),11-1011.00,Chief Executives
Chief Administrative Officer (CAO),11-1011.00,Chief Executives
Chief Diversity Officer (CDO),11-1011.00,Chief Executives
Chief Financial Officer (CFO),11-1011.00,Chief Executives
Chief Information Officer (CIO),11-1011.00,Chief Executives
Chief Information Security Officer (CISO),11-1011.00,Chief Executives
Chief Innovation Officer (CINO),11-1011.00,Chief Executives
Chief Nursing Officer (CNO),11-1011.00,Chief Executives
Chief Operating Officer (COO),11-1011.00,Chief Executives
Chief Technical Officer (CTO),11-1011.00,Chief Executives
Chief Technology Officer (CTO),11-1011.00,Chief Executives
Chief Warden,11-1011.00,Chief Executives
Commissioner,11-1011.00,Chief Executives
Consumer Affairs Director,11-1011.00,Chief Executives
Corporate Executive,11-1011.00,Chief Executives
Correctional Agency Director,11-1011.00,Chief Executives
County Commissioner,11-1011.00,Chief Executives
County Executive Director,11-1011.00,Chief Executives
Deputy District Customs Director,11-1011.00,Chief Executives
Deputy Insurance Commissioner,11-1011.00,Chief Executives
District Customs Director,11-1011.00,Chief Executives
Employment Research and Planning Director,11-1011.00,Chief Executives
Employment Services Director,11-1011.00,Chief Executives
Executive Director,11-1011.00,Chief Executives
Executive Officer,11-1011.00,Chief Executives
Executive Vice President (EVP),11-1011.00,Chief Executives
Finance Vice President (Finance VP),11-1011.00,Chief Executives
Financial Institution President,11-1011.00,Chief Executives
Financial Responsibility Division Director,11-1011.00,Chief Executives
Foundation Director,11-1011.00,Chief Executives
Government Service Executive,11-1011.00,Chief Executives
Health Commissioner,11-1011.00,Chief Executives
Highway Commissioner,11-1011.00,Chief Executives
Hospital CFO (Hospital Chief Financial Officer),11-1011.00,Chief Executives
Institution Director,11-1011.00,Chief Executives
Insurance Commissioner,11-1011.00,Chief Executives
Internal Revenue Commissioner,11-1011.00,Chief Executives
Labor Commissioner,11-1011.00,Chief Executives
Labor Standards Director,11-1011.00,Chief Executives
Law Enforcement Director,11-1011.00,Chief Executives
Licensing and Registration Director,11-1011.00,Chief Executives
Liquor Commissioner,11-1011.00,Chief Executives
Liquor Stores and Agencies Supervisor,11-1011.00,Chief Executives
Media Executive,11-1011.00,Chief Executives
Medical Facilities Section Director,11-1011.00,Chief Executives
Music Executive,11-1011.00,Chief Executives
Nonprofit Director,11-1011.00,Chief Executives
Operations Vice President (Operations VP),11-1011.00,Chief Executives
Police Commissioner,11-1011.00,Chief Executives
President,11-1011.00,Chief Executives
Private Sector Executive,11-1011.00,Chief Executives
Public Health Director,11-1011.00,Chief Executives
Public Works Commissioner,11-1011.00,Chief Executives
Public Works Director,11-1011.00,Chief Executives
Railroad Commissioner,11-1011.00,Chief Executives
Regulatory Agency Director,11-1011.00,Chief Executives
Relocation Commissioner,11-1011.00,Chief Executives
Road Commissioner,11-1011.00,Chief Executives
Safety Council Director,11-1011.00,Chief Executives
Staff Chief,11-1011.00,Chief Executives
State Assessed Properties Director,11-1011.00,Chief Executives
Tax Commissioner,11-1011.00,Chief Executives
Unemployment Insurance Director,11-1011.00,Chief Executives
Water Commissioner,11-1011.00,Chief Executives
Welfare Director,11-1011.00,Chief Executives
Chief Environmental Commitment Officer (CECO),11-1011.03,Chief Sustainability Officers
Chief Green Officer (CGO),11-1011.03,Chief Sustainability Officers
Chief Sustainability Officer (CSO),11-1011.03,Chief Sustainability Officers
Climate Change and Sustainability Manager,11-1011.03,Chief Sustainability Officers
Corporate Sustainability Manager,11-1011.03,Chief Sustainability Officers
Corporate Sustainability Process Manager,11-1011.03,Chief Sustainability Officers
CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President),11-1011.03,Chief Sustainability Officers
Energy and Sustainability Manager,11-1011.03,Chief Sustainability Officers
Energy Sustainability Manager,11-1011.03,Chief Sustainability Officers
"Energy, Sustainability, and Infrastructure Manager",11-1011.03,Chief Sustainability Officers
Environmental and Sustainability Manager,11-1011.03,Chief Sustainability Officers
Environmental Sustainability Manager,11-1011.03,Chief Sustainability Officers
"ESG Manager (Environmental, Social, and Corporate Governance Manager)",11-1011.03,Chief Sustainability Officers
Global Sustainability Manager,11-1011.03,Chief Sustainability Officers
Sustainability Chancellor,11-1011.03,Chief Sustainability Officers
Sustainability Chief,11-1011.03,Chief Sustainability Officers
Sustainability Director,11-1011.03,Chief Sustainability Officers
Sustainability Energy Manager,11-1011.03,Chief Sustainability Officers
Sustainability Initiatives Vice President (Sustainability Initiatives VP),11-1011.03,Chief Sustainability Officers
Sustainability Manager,11-1011.03,Chief Sustainability Officers
Sustainability Programs Director,11-1011.03,Chief Sustainability Officers
Sustainability Reports Director,11-1011.03,Chief Sustainability Officers
Sustainability Research and Advocacy Director,11-1011.03,Chief Sustainability Officers
Sustainability Strategy Manager,11-1011.03,Chief Sustainability Officers
Sustainable Design Director,11-1011.03,Chief Sustainability Officers
Area Manager,11-1021.00,General and Operations Managers
Boards and Commissions Director,11-1021.00,General and Operations Managers
Business Coordinator,11-1021.00,General and Operations Managers
Business Manager,11-1021.00,General and Operations Managers
Center Manager,11-1021.00,General and Operations Managers
Chief Administrative Officer (CAO),11-1021.00,General and Operations Managers
Corporate Manager,11-1021.00,General and Operations Managers
Department Manager,11-1021.00,General and Operations Managers
Department Store General Manager (Dept Store GM),11-1021.00,General and Operations Managers
Department Store Manager (Dept Store Manager),11-1021.00,General and Operations Managers
District Commercial Superintendent,11-1021.00,General and Operations Managers
District Manager,11-1021.00,General and Operations Managers
District Plant Superintendent,11-1021.00,General and Operations Managers
District Traffic Chief,11-1021.00,General and Operations Managers
District Wire Chief,11-1021.00,General and Operations Managers
Division Toll Wire Chief,11-1021.00,General and Operations Managers
Division Traffic Superintendent,11-1021.00,General and Operations Managers
Drilling and Production Superintendent,11-1021.00,General and Operations Managers
Electrical Superintendent,11-1021.00,General and Operations Managers
Equipment Maintenance Superintendent,11-1021.00,General and Operations Managers
Field Party Manager,11-1021.00,General and Operations Managers
Fish and Game Club Manager,11-1021.00,General and Operations Managers
General Manager (GM),11-1021.00,General and Operations Managers
General Superintendent,11-1021.00,General and Operations Managers
Golf and Operations Manager,11-1021.00,General and Operations Managers
Golf Course Manager,11-1021.00,General and Operations Managers
Gym Manager,11-1021.00,General and Operations Managers
Installation Superintendent,11-1021.00,General and Operations Managers
IO Manager (Industrial Organization Manager),11-1021.00,General and Operations Managers
Laundry Superintendent,11-1021.00,General and Operations Managers
Line Construction Superintendent,11-1021.00,General and Operations Managers
Manufacturing Operations Manager,11-1021.00,General and Operations Managers
Mine Superintendent,11-1021.00,General and Operations Managers
Movie Theater Manager,11-1021.00,General and Operations Managers
Newspaper Manager,11-1021.00,General and Operations Managers
Nonprofit Manager,11-1021.00,General and Operations Managers
Office Manager,11-1021.00,General and Operations Managers
Offshoring Manager,11-1021.00,General and Operations Managers
Operational Risk Manager,11-1021.00,General and Operations Managers
Operations Director,11-1021.00,General and Operations Managers
Operations General Manager (Operations GM),11-1021.00,General and Operations Managers
Operations Manager,11-1021.00,General and Operations Managers
Operations Supervisor,11-1021.00,General and Operations Managers
Park Superintendent,11-1021.00,General and Operations Managers
Parks and Recreation Manager,11-1021.00,General and Operations Managers
Plant Superintendent,11-1021.00,General and Operations Managers
Print Production Manager,11-1021.00,General and Operations Managers
Printing Manager,11-1021.00,General and Operations Managers
Prison Warden,11-1021.00,General and Operations Managers
Program Director,11-1021.00,General and Operations Managers
Program Manager,11-1021.00,General and Operations Managers
Public Works Director,11-1021.00,General and Operations Managers
Publication Director,11-1021.00,General and Operations Managers
Refinery Superintendent,11-1021.00,General and Operations Managers
Revenue Director,11-1021.00,General and Operations Managers
Revenue Manager,11-1021.00,General and Operations Managers
Roads Superintendent,11-1021.00,General and Operations Managers
Shelter Director,11-1021.00,General and Operations Managers
Shift Supervisor,11-1021.00,General and Operations Managers
Shop Superintendent,11-1021.00,General and Operations Managers
Site Operations Manager,11-1021.00,General and Operations Managers
Solid Waste Manager,11-1021.00,General and Operations Managers
Sports Team Manager,11-1021.00,General and Operations Managers
Store Director,11-1021.00,General and Operations Managers
Store Manager,11-1021.00,General and Operations Managers
