O*NET-SOC Code,Title,Workplace Example,Element Name,Hot Technology,In Demand
11-1011.00,Chief Executives,Adobe Acrobat,Document management software,Y,N
11-1011.00,Chief Executives,AdSense Tracker,Data base user interface and query software,N,N
11-1011.00,Chief Executives,Atlassian JIRA,Content workflow software,Y,N
11-1011.00,Chief Executives,Blackbaud The Raiser's Edge,Customer relationship management CRM software,N,N
11-1011.00,Chief Executives,ComputerEase construction accounting software,Accounting software,N,N
11-1011.00,Chief Executives,Database reporting software,Data base reporting software,N,N
11-1011.00,Chief Executives,Databox,Data base user interface and query software,N,N
11-1011.00,Chief Executives,Email software,Electronic mail software,N,N
11-1011.00,Chief Executives,Exact Software Macola ES Labor Performance,Time accounting software,N,N
11-1011.00,Chief Executives,Extensible markup language XML,Enterprise application integration software,Y,N
11-1011.00,Chief Executives,Fund accounting software,Accounting software,N,N
11-1011.00,Chief Executives,Graphic presentation software,Graphics or photo imaging software,N,N
11-1011.00,Chief Executives,Halogen e360,Human resources software,N,N
11-1011.00,Chief Executives,Halogen ePraisal,Human resources software,N,N
11-1011.00,Chief Executives,HCSS HeavyBid,Project management software,N,N
11-1011.00,Chief Executives,HCSS HeavyJob,Project management software,N,N
11-1011.00,Chief Executives,Human resource information system (HRIS),Human resources software,N,N
11-1011.00,Chief Executives,Infor SSA Human Capital Management,Human resources software,N,N
11-1011.00,Chief Executives,Intuit QuickBooks,Accounting software,Y,N
11-1011.00,Chief Executives,Listserv software,Electronic mail software,N,N
11-1011.00,Chief Executives,Lyris HQ Web-Analytics Solution,Analytical or scientific software,N,N
11-1011.00,Chief Executives,Mentimeter,Presentation software,N,N
11-1011.00,Chief Executives,Microsoft Access,Data base user interface and query software,Y,N
11-1011.00,Chief Executives,Microsoft Dynamics,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Microsoft Dynamics AX,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Microsoft Dynamics GP,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Microsoft Excel,Spreadsheet software,Y,Y
11-1011.00,Chief Executives,Microsoft FRx,Financial analysis software,N,N
11-1011.00,Chief Executives,Microsoft Office software,Office suite software,Y,Y
11-1011.00,Chief Executives,Microsoft Outlook,Electronic mail software,Y,Y
11-1011.00,Chief Executives,Microsoft PowerPoint,Presentation software,Y,Y
11-1011.00,Chief Executives,Microsoft Project,Project management software,Y,N
11-1011.00,Chief Executives,Microsoft Publisher,Desktop publishing software,N,N
11-1011.00,Chief Executives,Microsoft SharePoint,Document management software,Y,N
11-1011.00,Chief Executives,Microsoft Word,Word processing software,Y,N
11-1011.00,Chief Executives,Nedstat Sitestat,Analytical or scientific software,N,N
11-1011.00,Chief Executives,Norchard Solutions Succession Wizard,Time accounting software,N,N
11-1011.00,Chief Executives,Online advertising reporting software,Analytical or scientific software,N,N
11-1011.00,Chief Executives,Oracle E-Business Suite,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Oracle PeopleSoft,Enterprise resource planning ERP software,Y,N
11-1011.00,Chief Executives,Oracle Siebel Server Sync,Customer relationship management CRM software,N,N
11-1011.00,Chief Executives,PHP,Web platform development software,Y,N
